Gene_symbol Ratio_2h Ratio_6h Ratio_12h Ratio_18h Ratio_24h Count_2h Count_6h Count_12h Count_18h Count_24h
MTA1 0.0902038589957256 0.0291905104694166 0.0208087417365998 -0.0535284409892993 -0.0112093614203034 21 23 18 24 23
MTA2 0.00132789036088757 -0.137634671883373 -0.0756010848240282 -0.157819839478863 -0.0356239097307212 43 50 45 48 47
MTAP 0.126706501634518 0.191425485776985 0.0050148576105386 -0.00504061670053016 -0.0207688650945718 11 13 12 15 14
MTCH1 -0.032100843167024 0.118523315204727 0.126249785609616 0.118460667642827 0.276275445317471 2 3 3 3 3
MTCH2 -0.0648828515848544 -0.110630508096434 -0.0103501881695673 0.0181911760861285 0.0118206857913044 14 13 12 19 17
MTDH -0.0391383939069583 -0.0177794125612347 -0.053389419544635 -0.0680516429977899 0.0348843574350264 13 13 11 12 15
MTF2 0.0251770390231669 -0.155231116299279 -0.127369146616222 -0.468218361534949 -0.362105136071087 8 9 9 11 10
MTFP1 -0.215989154146721 -0.179638434938132 -0.00561556740690985 -0.164013888525057 -0.0200576523412534 2 4 3 4 4
MTHFD1 0.0456101022351455 0.0135817830248003 0.060984104987696 0.0845326396200955 0.0954812200303314 75 77 65 81 72
MTHFD1L -0.0716253939737697 -0.0984195577655445 0.0169936520938889 -0.328262028609413 -0.035905383742128 8 12 9 16 10
MTHFD2 -0.00230646738316905 0.0387026576116894 -0.176322772640463 -0.278817403074721 -0.357946052859261 9 11 7 5 13
MTMR1 -0.0943712105925172 0.0342046354825453 -0.195977458642588 -0.313826296390398 -0.307311939064188 3 6 3 2 7
MTMR14 0.0195797954759496 -0.356594581996132 0.229196320257164 0.186852964518961 0.119290968697525 3 4 2 2 3
MTMR3 0.095157560925614 0.489017832513262 -0.11809388938682 0.192842946830752 0.252518070932279 3 3 2 1 3
MTMR6 -0.138945497923841 0.129449838203609 0.295110333872603 0.45150418902917 0.348243354909127 8 6 6 5 5
MTOR 0.070451365111966 0.132198401265912 0.21031247576536 0.137203474385482 0.121219737116427 10 19 13 16 17
MTPN 0.16296099579949 0.188496087906627 0.246275671952261 0.498239867020078 0.295234250131292 4 6 5 4 7
MTR 0.0588936890535686 -0.0149265442381028 0.0360672458930405 0.0427837084811747 0.0590289480540166 14 13 9 9 13
MTX1 -0.0694272104560142 0.0345740098581555 -0.0801118598615982 0.064600601484781 -0.00733904600816206 6 10 3 8 8
MTX2 -0.0216218578515189 0.00115461794149201 0.074182828117395 0.226509972504442 0.195715099552402 7 9 8 7 7
MUT -0.0644690173684425 -0.189033824390017 0.278496092964293 0.437720936370133 0.37048950065611 4 8 7 6 9
MUTED 0.0860785183797989 -0.00389002743337179 0.0782590139204996 0.182556834811725 0.175957240028128 2 6 5 8 6
MVK 0.0975481850203097 0.186179824483688 0.514573172829758 0.556053930797637 0.538764828825745 3 5 2 3 3
MYBBP1A -0.0802483300921202 -0.27500704749987 -0.12485746725576 -0.300416627836874 -0.281193774952634 19 25 27 28 29
MYCBP 0.104697378666693 0.124754658699597 -0.138945497923841 -0.0984195577655445 -0.291957116429807 6 6 7 10 6
MYCBP2 0.0133779096967891 -0.00245049923482243 -0.164528860881369 -0.610511091666109 -0.336511915512762 5 1 3 3 5
MYEF2 0.0527153710146099 -0.0716253939737697 0.0243111240391867 0.105054218341595 0.364106336760274 6 6 6 6 6
MYH10 0.00684013725106366 0.0229472616060094 0.0310171731433268 0.0974247009690594 0.0781523997720485 105 110 94 89 105
MYH9 0.0386730194860667 0.0611496629939365 0.0579772677035457 0.0723158902082776 0.0108609926317669 223 234 223 228 247
MYL1;MYL3 -0.0708014676002111 -0.0312540254705009 -0.0928839656784844 0.0503380780571363 0.00836296966900255 3 4 2 2 4
MYL12A;MYL12B;MYL9 0.05733161539648 0.0587283897168938 0.0180889096136504 0.038687838472769 0.0530595807033339 15 18 18 19 19
MYL6 -0.0288520058474934 0.0102796709593949 0.0147910526824466 0.0818275139859105 0.0750792092749615 23 24 25 25 30
MYL6B -0.0839281550623593 -0.0309716424120756 0.23885091666901 0.0605477249270468 0.140030451778974 2 3 3 4 3
MYO18A -0.0282862430791099 -0.0109230271847919 0.0155054349901301 0.134081185447788 0.125824697172555 18 22 21 18 25
MYO18B 0.0199015611822088 -0.0336520524899971 -0.102725310011088 0.0394141553499404 -0.250597823048234 7 10 5 2 3
MYO1G 0.0411795916044668 0.047204248795326 0.169825819567589 0.507705827018994 0.660931044926553 22 23 22 27 30
MYO5A -0.0757379823940782 -0.265556915602505 -0.132511039799195 0.00977120657398835 0.0537482465516729 5 4 3 5 4
MYO9B 0.125494159404741 0.171774639641115 0.159089675485321 0.220278018792927 0.394941906738488 9 8 8 6 11
MYST1 0.0212186232372655 0.0745321986048589 0.0333775799008045 -0.0854246562526777 -0.137110007802351 4 6 4 4 6
MYST2 0.141398282076642 -0.315102453077668 -0.051580920630645 0.348959793006409 -0.136453909268651 5 5 2 2 5
MZB1 0.0635750067232743 0.000144276718044916 0.0269692252548048 -0.038014690186716 -0.0651586751285469 20 22 16 16 17
N4BP1 0.166275994858055 -0.0881415968690175 0.147713451846859 0.0807285735491172 0.0550815992807252 6 7 5 5 8
N4BP2 -0.107286134952222 -0.0897693086335085 -0.034215715337913 -0.197110514712696 -0.0817486512341679 4 8 8 7 8
NAA10 0.063695627095682 0.0308845149187385 -0.0260209707143701 -0.148348449915649 -0.0472591754780128 12 15 10 12 12
NAA15 0.162718733697379 0.000375149482177433 -0.00891709473605306 -0.087598617923621 -0.203138497190848 20 23 22 21 23
NAA25 0.185999279360955 0.00589823636778517 0.0134798427595197 -0.0330881693321878 -0.169668499523086 8 12 9 11 12
NAA38 0.0726951535639553 0.137552576215222 -0.034779158048019 0.0953733255940263 0.0212625460199646 4 7 6 4 6
NAA50 -0.0492125346325603 -0.112766845428428 -0.192194165283345 -0.34698524674227 -0.266036893995317 16 18 15 16 15
NACA 0.00246912021988607 0.0439582208090147 -0.0893625528277346 -0.169668499523086 -0.158078456498626 13 16 11 22 18
NADKD1 0.15394402180553 0.0578270902170062 0.00358232762600343 0.0504575967367443 0.257786780481922 4 4 5 4 6
NADSYN1 -0.0771062441059786 -0.127765328148545 0.0193604509054312 -0.103665482765697 0.120482423605261 8 12 10 8 11
NAE1 -0.093695380233557 -0.0494913701651037 -0.00920382732983982 -0.0791562066176435 0.106560122683883 19 19 13 10 17
NAF1 -0.153545951856674 -0.139993301903364 0.24220865886243 -0.352080513729863 -0.552573811179844 1 3 2 3 3
NAGK 0.0626254735422212 0.0707846804983825 0.130018076957914 0.316653876827045 0.368346224182084 16 18 16 15 19
NAMPT;NAMPTL 0.0574667280180599 -0.0340748202705722 0.0330675562527028 0.00439247287100798 0.0229472616060094 22 32 24 34 32
NANS 0.081964940417305 -0.124063396027078 0.222969614799194 0.0824536737755159 0.331880875313568 8 8 8 10 9
NAP1L1 -0.0288520058474934 0.0324919747406243 0.0228006864749852 -0.0501882233114781 -0.106348319505147 30 34 27 41 38
NAP1L4;NAP1L4b -0.00733904600816206 0.0362743511246467 0.0117479594101339 -0.0192037339730927 0.00336540166252023 31 34 29 37 33
NAPA -0.0441842575440038 -0.035905383742128 0.067757368994568 0.0985518849377893 0.116113345707375 35 39 27 33 34
NAPG 0.0139022136171159 0.0828814513214581 0.0314447104190051 0.0264548456920662 0.0162639420813221 26 29 23 28 27
NARF 0.127636129051393 0.192199972142571 0.129576094141808 0.257476323187655 0.0499347755980701 7 7 6 6 7
NARS -0.0644690173684425 -0.0123541304078741 0.0161909913756188 -0.0771062441059786 -0.00676478187842236 28 31 30 43 40
NASP -0.0234682805039054 0.0381396373158184 -0.00259451670845239 -0.0074825763312062 -0.0673633671196102 55 67 58 67 66
NAT10 -0.0305479641629666 -0.0835197488201729 -0.0880058712900201 -0.243059706072528 -0.193204013983875 24 25 22 24 24
NBAS 0.103565384842891 0.21623325715708 0.0104976391376187 0.152885009916414 0.275786313242642 6 7 5 5 9
NBN -0.0213375829656949 -0.109828565307087 -0.0831112269313071 -0.0765590951316044 -0.126708602196968 15 16 18 12 17
NCAPD2 0.0800269107078591 0.141334633297998 0.186475310702189 0.0845326396200955 0.165402036358706 28 39 30 36 44
NCAPG 0.100886255888786 0.140253033472466 0.135522621332287 0.0742132048013821 0.135047263540128 18 25 19 24 25
NCAPG2 0.504345765475365 -0.0651586751285469 0.318739658018461 0.0913868934244379 -0.108089491840297 4 4 2 2 2
NCAPH 0.0866912057975473 0.128030219733224 0.100499509627178 0.145589363319229 0.0673038196680343 15 17 10 14 20
NCAPH2 0.0640123035631438 0.172278512992387 0.191590235293647 0.251590292738961 0.06425362753659 2 5 4 4 5
NCBP1 0.06224884779649 0.11234996102856 0.0716334673178079 0.0980731101841107 0.152035153691074 21 21 20 16 24
NCK1 0.0370438595295743 0.0792188959645587 0.0543473537479277 0.00145785833374897 -0.017351841787775 10 12 9 8 12
NCKAP1 0.0977488691487109 -0.000288510158123554 0.352621013903016 0.43006178076039 0.341665107822144 4 6 4 3 7
NCKAP1L 0.0254706875161182 0.031518436549594 0.00626043316744437 0.110339561715688 0.113801058513612 11 9 9 8 9
NCKIPSD 0.0505920670876448 -0.093154487907083 -0.0186341741390509 0.0477857311757808 -0.24379092506481 6 8 5 9 8
NCL -0.11290026153255 -0.0604624879861069 -0.126312130328704 -0.187894404790796 -0.165429620424185 78 83 84 80 95
NCLN -0.0521376233351752 -0.0984195577655445 -0.0978804340519131 -0.276198865032242 -0.057692867168346 14 17 15 15 23
NCOA5 0.0484420440675703 0.0744866237429547 -0.0326651122818301 0.0420854013670146 0.145350000586046 13 18 14 18 17
NCOR1 -0.112099579776235 -0.0593552776164212 -0.0350607969051142 0.306055913024214 -0.110363243360418 13 13 9 9 15
NCOR2 0.0463846076544843 -0.175428790822257 -0.0935601761623379 -0.164271397680741 -0.497944421877743 5 5 5 3 6
NCSTN -0.0525550094341053 -0.0482361856528477 0.0864767356025948 0.174067872155773 0.260117342144663 9 8 8 9 8
NDC80 -0.230694897121916 0.259875479224263 0.155148388766795 0.407899419715516 0.590831765272831 2 1 3 3 2
NDE1 -0.173383321214723 0.0349878214648452 0.035653124601101 0.0359932869434897 -0.0387171075728537 4 5 7 8 8
NDNL2 -0.00992040959306384 -0.125254339031466 -0.152897287198972 -0.0606008295541171 -0.35963361304804 3 3 3 3 3
NDRG1 -0.0258792730232589 0.0495315858498773 0.21235022814745 0.368569721690834 0.355756065908786 11 8 6 5 7
NDST4 -0.0493519591352916 -0.0260209707143701 -0.0450235216984977 0.0661554657834864 -0.0824300999459491 4 3 3 3 3
NDUFA10 -0.0113525072299052 -0.105007524760974 -0.157173094033464 -0.228356954201048 -0.0457225357346006 9 11 10 11 10
NDUFA11 -0.271067049491041 -0.146915848087275 0.0547219221240898 -0.214124805352847 -0.12485746725576 5 3 6 6 6
NDUFA12 -0.0777898886436676 -0.387803664533329 -0.120750053334926 0.229619157426404 -0.0758748669751276 1 5 5 3 6
NDUFA13;YJEFN3 -0.0206266505899579 -0.222804561045261 -0.0353423807921971 -0.0149265442381028 0.0213064701399315 12 13 12 13 13
NDUFA2 0.0430809629926497 -0.262914176237417 0.00287382353511722 -0.0626743627633925 0.015753364589114 4 1 5 3 3
NDUFA4 -0.323773563691473 -0.446256229889564 -0.209390977467428 -0.120882733248652 -0.0404015152842066 3 2 3 3 2
NDUFA5 0.0332889949173007 -0.206268124520983 -0.10111215847415 0.0681354357163916 -0.0694272104560142 4 7 4 4 5
NDUFA6 0.00689812047301115 -0.117828003827481 0.148864640432455 -0.147567207094632 0.0239296993042656 9 5 5 5 4
NDUFA8 0.159556908610208 -0.100574040213197 -0.0553345017510994 0.043616175503652 -0.0597705810902547 7 9 8 8 7
NDUFA9 -0.0951817893426852 -0.187641078180683 -0.0322419311374939 -0.165944087770598 -0.0504668703506619 15 13 15 16 14
NDUFAB1 0.0128246844180135 -0.104202449382443 0.0366146599902419 0.0375916443874622 -0.0163536835778348 5 7 9 9 7
NDUFAF4 -0.166072675946706 0.00465297334555877 -0.0773797407970136 -0.178491567822311 -0.165300974916865 4 8 6 6 5
NDUFB10 -0.0743684217815534 -0.0705267208766824 0.0326985673250294 -0.0412429822318814 -0.0132121114268512 13 12 14 15 13
NDUFB3 -0.0646069752973919 -0.267955212291271 -0.112233057598497 -0.238297727512287 -0.133958010100549 3 3 4 3 6
NDUFB8 -0.0846085753178094 -0.296193072614792 -0.218347209278499 -0.215243703712866 -0.107821755912854 4 5 4 4 4
NDUFB9 -0.0305479641629666 -0.169155358830894 -0.0434844976035795 -0.0378741656611202 -0.107553970289646 6 6 5 6 6
NDUFC2 0.104712891599998 -0.135272179476252 -0.0120680233090903 -0.149909667534924 -0.0496307677246004 4 6 4 8 5
NDUFS1 -0.0281447677133787 -0.0231843692482633 -0.0391383939069583 -0.0606008295541171 0.0282191968277212 22 25 21 24 26
NDUFS2 -0.114766792665514 -0.135272179476252 0.0223610504113002 -0.0771062441059786 0.218178697912488 13 13 13 14 15
NDUFS3 0.084578532949078 -0.0893625528277346 -0.00432160595009342 0.0640273851289151 0.126533247501284 23 20 15 20 19
NDUFS4 0.0212186232372655 -0.0832474137479362 0.105069735112402 -0.0309716424120756 0.156514554524266 4 3 3 3 3
NDUFS5 -0.185359134758002 -0.130535556756188 -0.0809304876729839 -0.138552375152649 0.0185418590369747 3 4 4 4 5
NDUFS7 -0.170694233687083 -0.319271090818063 -0.111565544959518 0.0700878361326436 -0.214249170254514 3 3 2 2 3
NDUFS8 -0.0775164697020952 -0.212008960113565 -0.076695901830383 0.415595449238599 0.376282939049847 5 3 4 3 4
NDUFV1 -0.0508847400250935 -0.154842406869233 -0.0697021666300674 -0.0894981508391025 0.112162828913259 11 9 10 10 11
NDUFV2 0.111975721067735 0.0912639355873713 0.0906800289284215 0.0516533284263736 0.217507559892179 7 3 6 6 4
NEDD1 0.094957236909083 -0.265436896049098 0.0222291857123719 0.216250016992825 0.257269388767551 6 6 3 2 6
NEDD4 -0.056860943046751 0.110869162578796 0.195731622713665 0.134334520398604 0.227489318668284 8 10 6 11 8
NEK7 0.159089675485321 0.12741548528242 0.160475704609271 0.0226541262342091 -0.0289934118795487 8 8 6 7 11
NEK9 0.0382137063815298 0.0735602470052377 0.121690559860926 0.132419777797495 0.239719430468653 13 16 13 9 14
NF1 -0.152507948364903 -0.105275783415687 -0.0751903141552193 -0.148478615931968 0.0767367018230539 4 5 5 3 5
NFATC1 0.0522366071521205 0.0203550801539202 0.124361461642571 0.277621414241678 0.194509419629397 7 9 8 7 9
NFATC2IP 0.00808729037360513 0.00128457030500704 0.0907722090066738 0.28526652174187 0.343549393694661 13 14 14 12 13
NFKB1 0.0864460996058449 0.0814305778141021 0.202439109687703 0.116911006727195 0.77211108937439 3 3 3 2 3
NFKBIL2 0.178469367801828 0.153815615317822 0.0117915947988979 -0.114766792665514 -0.169155358830894 7 10 6 7 9
NFRKB 0.0357122775082666 -0.00446543677030055 -0.0663992289113827 -0.200378797984026 -0.357495703225234 8 9 4 5 8
NFS1 -0.120750053334926 0.0580073050768735 0.0486658553588216 0.0935711406863139 0.186770857453229 7 9 6 4 8
NFU1 0.167831007290789 -0.161823202945348 0.213085862027861 0.244377444983626 0.407708022466619 6 5 3 7 7
NFYB -0.00604663011841485 -0.364012053558615 0.0933556453582868 0.0193312074822155 -0.173511248063922 2 4 4 5 6
NFYC -0.182946494511102 -0.0973411087967018 -0.19269917799206 -0.0850166734887139 -0.196355242882748 7 6 6 8 6
NGLY1 0.0131303879528886 0.0614206170826075 0.0389397845386627 0.340532062915214 0.173270519856749 2 4 3 4 3
NHLRC2 0.0456101022351455 -0.0157829972409274 -0.141825129700028 -0.00662118012237995 0.0787464932428904 4 5 4 5 4
NHP2 -0.047957107396655 0.00987288511579845 -0.0877343818197254 -0.0184917490398792 -0.105141660323423 5 4 4 5 4
NHP2L1 -0.0109230271847919 0.00919032376745367 -0.0623980637984785 -0.0683268614345055 -0.0788830465219891 5 9 9 10 8
NIF3L1 0.0827744950429925 0.082316200783305 0.114035243246029 0.0296175066829364 -0.00331438850667705 10 10 11 11 9
NIP7 -0.0881415968690175 0.058397847851088 -0.072860401931245 -0.0757379823940782 -0.106482330469981 4 6 6 6 6
NIPBL -0.0464212112487104 -0.131457785479088 -0.00273851980692881 -0.106482330469981 0.00358232762600343 15 15 12 8 20
NIPSNAP1 -0.00273851980692881 -0.129876460833131 -0.0197730690400272 0.0429471908831606 0.00559406131223053 12 13 12 14 12
NIPSNAP3A -0.0354831521286886 0.0658987222017592 0.221454974197195 0.188644060844653 0.407593196304254 4 4 3 2 5
NIT1 -0.133958010100549 0.0434080137107089 0.0829884155298694 0.045788797354082 0.151746637122112 3 5 6 6 5
NIT2 -0.017351841787775 -0.13119435170845 -0.0717626693000912 0.0667748589360299 0.154875310790252 18 19 16 15 22
NKAP 0.082636991478096 0.0113698413149563 0.144169725316234 0.0785484349020045 0.21645115020981 6 5 3 4 8
NKRF -0.169540231459797 -0.19484351199952 -0.187134291474536 -0.0404015152842066 -0.583326519110026 7 6 7 3 8
NKTR 0.0731048700052587 0.0438838562352087 0.0466379015612578 -0.0344974641994449 0.0676666477217264 1 2 2 3 3
NLE1 -0.0210532520540752 0.0219361961923937 0.0140770239418682 -0.179383654356298 -0.193330195384304 15 13 13 16 15
NLGN4X;NLGN4Y 0.00495695002773461 0.0761738532205355 0.207144647637511 0.398512653811157 0.467752870293453 10 11 9 9 11
NLN 0.0475173255695246 0.0403485289537801 -0.140647793154842 0.0938944440438758 -0.26663664251399 3 2 3 3 5
NLRX1 -0.00604663011841485 0.151922945946855 0.255993948645464 -0.032383005311653 0.259702744817034 3 2 1 3 3
NMD3 -0.139862368015641 -0.0985543072207294 -0.157949153783694 -0.28699939663384 -0.471967787661516 7 15 11 14 9
NME1 -0.0167815502334021 -0.173127433480656 -0.0186341741390509 -0.0673633671196102 -0.0416635317293615 5 5 8 7 8
NME1-NME2;NME2;NME1 -0.0582472168546628 -0.308710351168077 -0.108892401632409 -0.159241659730106 -0.0462815032119102 63 69 56 68 69
NME3 -0.0993625397577723 -0.252052275031513 0.0285576106826097 0.143516204479559 0.625489074231609 1 3 3 3 2
NMRAL1 0.0149805482096179 -0.236094578637878 0.289104321673294 0.0603972796439563 0.510703699974999 5 3 4 3 1
NMT1 -0.0832474137479362 0.0398441886676393 -0.0298415571367151 0.128392878262405 -0.0892269420703955 13 12 12 18 15
NNT 0.0516234230526132 -0.0475383887633605 0.0655514359474153 0.103565384842891 0.238680681139426 45 50 44 50 49
NOB1 -0.263875732577862 -0.180784391078699 -0.456595905126213 -0.659924558402378 -0.95865710767711 3 5 4 3 4
NOC2L 0.0208233783565901 -0.113833828959277 -0.136453909268651 -0.140647793154842 -0.215740713464018 6 8 9 9 13
NOC4L 0.196855641867676 -0.284040263954096 -0.714223533574192 -1.48036853734721 -1.36854487466153 6 13 9 7 11
NOL10 -0.0483757045389762 -0.0439043942956212 -0.20163386116965 -0.0776531856501613 -0.189033824390017 6 7 10 7 10
NOL11 -0.0962618530584036 -0.0599089890186852 -0.130271954518859 -0.234010733108401 -0.329755085744747 14 17 11 14 16
NOL6 -0.101650076094435 -0.176322772640463 -0.202260983562003 -0.518333701528503 -0.332392869057617 7 10 5 8 10
NOL7 0.0544372412894452 -0.529071299829111 -0.218967110048957 -0.289008145530796 -0.419538891513784 5 5 4 4 5
NOL8 -0.150429698194205 0.122161536308335 0.202571917847687 -0.189792937820259 0.00755059234949986 4 5 5 6 4
NOL9 0.0349139178292676 -0.206768235468322 -0.115699153431586 NA -0.0861043712432909 4 4 3 0 6
NOLC1 -0.101650076094435 -0.0623980637984785 -0.142086629617527 -0.115832298652565 -0.350044565862694 8 13 8 9 8
NOMO3;NOMO2;NOMO1 0.0452081191249148 -0.00475305539981947 0.0273661576929352 -0.104202449382443 -0.026729250487489 9 12 12 17 13
NONO -0.026729250487489 0.00060605919851607 0.0117188698841549 -0.0117818594599147 -0.0335111023613236 70 80 55 59 76
NOP10 0.18585157742793 -0.0892269420703955 NA 0.257528061430803 -0.10715219863491 3 3 0 1 4
NOP14 -0.103665482765697 -0.851679090869806 -1.59029062141644 -1.84486767607451 -1.7660438430127 5 7 4 3 5
NOP2 0.105286987428879 -0.330099418068484 -0.429428502087252 -0.451013242943973 -0.457646819392444 15 16 16 16 13
NOP56 -0.064744920035355 -0.270827915553664 -0.196984663529218 -0.337425664282688 -0.256769142761341 28 28 26 32 27
NOP58 -0.117163075465759 -0.218719181703117 -0.196732928222195 -0.189539944388503 -0.272262124974296 36 34 30 31 34
NOSIP 0.0814763725683675 0.0184395677039442 -0.0159256899902542 -0.0494913701651037 -0.0578314745605733 13 20 11 16 20
NOTCH1 0.0627158783532183 0.00646330310121028 -0.108491002592243 -0.0123541304078741 -0.0112093614203034 8 15 11 9 11
NOTCH3 0.142385197394719 -0.2368293354864 -0.694568225008834 -0.979659551715824 -0.847515928040447 2 6 5 4 4
NPEPPS 0.0482481023631014 0.0292493989858141 0.06167656490083 0.0594047340501111 0.0933094719754911 70 70 70 85 74
NPLOC4 0.00818885030110122 -0.103933991056233 0.0565662161297499 0.139919173808524 0.2058129034332 7 13 9 8 15
NPM1 -0.0360461001568595 -0.0247451901971378 -0.0896337361068956 -0.159112461230858 -0.212258044202735 63 65 46 50 44
NPTN 0.0700424014502968 -0.183708816875412 0.103425885443164 0.0810795329828781 0.565417138747204 3 4 4 4 4
NQO2 NA 0.2869553042191 0.454624641127441 0.349253819280934 0.571750389294305 0 5 5 4 6
NRAS;HRAS 0.174198093980606 0.108005405367652 0.0744258594998841 0.14084145045103 0.253033761186872 6 6 6 6 6
NRBF2 -0.0854246562526777 -0.192194165283345 0.0513991525066445 -0.587461007377938 0.163720347261626 5 3 2 1 4
NRBP1 -0.0757379823940782 0.0795847333692488 0.0391621264355814 -0.044603950649768 0.065400467995153 6 10 10 10 11
NRD1 0.0905264085518759 0.0692096857558338 0.0566412373221898 -0.00776959414591767 0.100669665209555 17 19 16 19 21
NSA2 -0.656450606305339 -0.727615550940965 -0.785676088992904 -0.768501947434259 -0.86504778922595 4 4 3 3 2
NSF 0.0698606770282666 0.011384382486266 0.117912617487474 0.254358210524281 0.317534571734747 27 27 27 30 28
NSFL1C -0.00906046815638366 0.00965501130036851 0.0934787816042498 0.193469710740434 0.217876647166555 25 22 20 22 22
NSMAF 0.0904956864393973 0.14181206759826 0.163461799762567 0.418272761017871 0.226509972504442 2 3 3 3 3
NSMCE4A -0.0894981508391025 0.188709831466877 0.0894515236888716 -0.146785540988701 -0.0848806535912965 4 4 4 5 3
NSUN2 -0.0503275535584249 -0.0578314745605733 -0.144829520838809 -0.197110514712696 -0.251446431558582 38 37 30 39 37
NSUN4 0.0275279022232737 0.168106548842755 -0.00201836053430566 0.243403649498285 -0.189033824390017 2 3 3 1 3
NSUN5 -0.263995882071239 -0.49988414589191 -0.342668518202499 -0.194969550093418 -0.333996118196453 6 11 9 9 12
NT5C2 -0.0126401807787704 -0.0430644786649374 0.0104249794190928 0.0389397845386627 -0.0439043942956212 13 14 14 14 15
NT5C3 -0.00273851980692881 0.0444788801819794 -0.113700499164728 0.152852930779133 0.408205708138913 3 3 2 4 5
NTHL1 0.0782742451563158 -0.228110634405181 0.0641932927587173 -0.237196573630394 -0.0816123228578898 3 3 3 3 3
NUB1 0.237353532961849 -0.00705194251649007 0.0524161249823636 -0.115699153431586 0.221942851436375 4 5 5 6 5
NUBP2 -0.0561673063004266 -0.157949153783694 -0.123401335971914 -0.087191249562623 0.119416338677259 4 4 4 5 4
NUCB1 0.310092575381907 0.439872023918736 0.32725786566604 0.181934792983998 -0.196355242882748 3 4 4 6 4
NUCB2 -0.0329471640991291 0.062956985548981 0.103828920517217 0.0462058387266139 0.130144382636901 14 18 13 13 16
NUDC 0.0583077132114929 0.0841349585774899 -0.000288510158123554 -0.104470857762917 -0.129744605507819 35 40 36 40 42
NUDCD1 -0.0132121114268512 -0.0247451901971378 0.0169498590834013 0.035283473870923 -0.100170319756977 19 19 15 15 17
NUDCD3 0.250422827539999 0.141652905275483 -0.00331438850667705 -0.0197730690400272 0.0763715858161562 7 12 7 7 9
NUDT1 -0.0402612230644346 -0.182565182221083 0.103131430999181 0.246121668579289 0.0904496044973174 6 7 5 5 8
NUDT11;NUDT10 -0.329869872317659 -0.0264459803038008 -0.260387037428937 -0.0268708647247453 -0.0526941113038451 7 9 9 7 11
NUDT16L1 -0.109561151953051 -0.144829520838809 -0.104470857762917 -0.116763971297723 -0.103262626606085 8 7 7 7 7
NUDT21 -0.0207688650945718 -0.310805431063173 -0.00949050294745241 0.0588035234311593 0.0549467098384687 18 22 15 17 22
NUDT5 -0.0186341741390509 -0.00676478187842236 0.0696638347320677 0.114175772334332 0.0427837084811747 27 27 23 26 28
NUDT9 NA 0.00823237817300436 0.126753756372979 0.0951113298374954 0.346518016172896 0 8 7 7 5
NUF2 0.0616464510359027 0.181771142333178 0.270730032015801 0.349694971079972 0.375309511103457 1 1 3 4 4
NUFIP2 0.0955582924253818 -0.0207688650945718 0.00284491239023139 -0.0261626544896757 -0.100574040213197 6 10 8 7 9
NUMA1 -0.0646069752973919 -0.513894946764927 -1.09936253975777 -1.35558014737736 -1.3489122409942 92 93 70 61 79
NUP107 0.0127810177719658 0.00310513355389259 -0.0455827600196351 -0.00129784159564685 0.05733161539648 20 22 19 21 25
NUP133 0.0103377925870271 0.00192006152852046 0.0191411396785691 -0.00776959414591767 0.0975173130166089 21 25 21 27 33
NUP153 0.0055650956037773 -0.18840092460321 -0.221196549944546 -0.441483479582645 -0.389236385748939 14 16 4 4 18
NUP155 0.0279249884225763 0.026175687855547 -0.0149265442381028 -0.0984195577655445 -0.10701824988212 30 41 30 32 41
NUP160 0.00749258289871241 0.0763259528117118 -0.00877370706601606 -0.087598617923621 -0.0777898886436676 26 26 24 31 33
NUP188 -0.0758748669751276 -0.0217639742916567 -0.0333701384605921 -0.186246986145312 -0.266156863646618 23 24 22 20 25
NUP205 0.0314889456452414 0.022170583048044 -0.00561556740690985 -0.0590783422012531 -0.106482330469981 39 48 34 43 46
NUP210 0.0538980000282018 -0.0482361856528477 0.00527547050049309 -0.128557364973757 0.0168476805616106 49 57 50 48 54
NUP214 0.0275867229123543 0.0597806179545672 -0.00934717225925265 0.0890678302379345 -0.0398402645317911 30 38 21 23 38
NUP35 0.120529474913041 0.0723462276079399 0.0355348260623763 -0.0539454249627852 -0.106884288691543 9 9 7 9 11
NUP37 0.0776803460826633 0.0444640015919706 0.0705877120987468 -0.00201836053430566 0.119761162307556 5 7 5 5 5
NUP43 -0.0137838154330997 -0.117695042669755 0.0199893279220265 -0.125122060569824 -0.0209110655816899 11 11 8 11 10
NUP50 0.0570464191871426 0.106063155734123 -0.0253123430460691 -0.0981500210920115 -0.173767067736706 12 16 9 14 17
NUP54 -0.0455827600196351 0.036451893561013 -0.0144981269993529 -0.067087964801147 -0.136060106880266 27 26 26 22 26
NUP62 -0.0419438299701673 0.122821161746751 0.0666690900587118 -0.0816123228578898 -0.120351940365222 21 17 15 18 18
NUP85 -0.0333701384605921 0.0163806708836825 0.0160888665844123 -0.0984195577655445 -0.132116159533725 12 25 22 18 26
NUP88 0.100391239250055 0.174198093980606 0.0696032732745454 0.186311144220345 0.0475471459488369 11 12 13 9 12
NUP93 -0.034779158048019 -0.0472591754780128 0.00903062199010551 -0.0795658498102748 -0.0538064436957938 41 40 36 42 40
NUP98 0.0141498678291709 0.00792771064514883 0.009960043855646 -0.0197730690400272 -0.0194884295913602 29 41 31 36 35
NUPL1 0.064977841753457 0.138441580427971 -0.121148056475311 0.0174170530774094 -0.291603558030565 11 11 8 9 9
