gene_ENSG_id	gene_symbol	gene_description
MTHFD1	ENSG00000100714	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1, methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthetase
MTHFD1L	ENSG00000120254	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like
MTHFD2	ENSG00000065911	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase
MTHFD2L	ENSG00000163738	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2-like
MTHFR	ENSG00000177000	methylenetetrahydrofolate reductase (NAD(P)H)
MTHFS	ENSG00000136371	5,10-methenyltetrahydrofolate synthetase (5-formyltetrahydrofolate cyclo-ligase)
MTHFSD	ENSG00000103248	methenyltetrahydrofolate synthetase domain containing
MTIF2	ENSG00000085760	mitochondrial translational initiation factor 2
MTIF3	ENSG00000122033	mitochondrial translational initiation factor 3
MTL5	ENSG00000132749	metallothionein-like 5, testis-specific (tesmin)
MTM1	ENSG00000171100	myotubularin 1
MTMR1	ENSG00000063601	myotubularin related protein 1
MTMR10	ENSG00000166912	myotubularin related protein 10
MTMR11	ENSG00000014914	myotubularin related protein 11
MTMR12	ENSG00000150712	myotubularin related protein 12
MTMR14	ENSG00000163719	myotubularin related protein 14
MTMR2	ENSG00000087053	myotubularin related protein 2
MTMR3	ENSG00000100330	myotubularin related protein 3
MTMR4	ENSG00000108389	myotubularin related protein 4
MTMR6	ENSG00000139505	myotubularin related protein 6
MTMR8	ENSG00000102043	myotubularin related protein 8
MTMR9	ENSG00000104643	myotubularin related protein 9
MTMR9L	ENSG00000220785	myotubularin related protein 9-like, pseudogene
MTO1	ENSG00000135297	mitochondrial tRNA translation optimization 1
MTOR	ENSG00000198793	mechanistic target of rapamycin (serine/threonine kinase)
MTPAP	ENSG00000107951	mitochondrial poly(A) polymerase
MTPN	ENSG00000105887	myotrophin
MTR	ENSG00000116984	5-methyltetrahydrofolate-homocysteine methyltransferase
MTRF1	ENSG00000120662	mitochondrial translational release factor 1
MTRF1L	ENSG00000112031	mitochondrial translational release factor 1 like
MTRNR2L9	ENSG00000210082	MT-RNR2-like 9
MTRR	ENSG00000124275	5-methyltetrahydrofolate-homocysteine methyltransferase reductase
MTSS1	ENSG00000170873	metastasis suppressor 1
MTSS1L	ENSG00000132613	metastasis suppressor 1-like
MTX1	ENSG00000173171	metaxin 1
MTX2	ENSG00000128654	metaxin 2
MTX3	ENSG00000177034	metaxin 3
MUC1	ENSG00000185499	mucin 1, cell surface associated
MUC20	ENSG00000176945	mucin 20, cell surface associated
MUDENG	ENSG00000053770	NA
MUL1	ENSG00000090432	mitochondrial E3 ubiquitin protein ligase 1
MUM1	ENSG00000160953	melanoma associated antigen (mutated) 1
MURC	ENSG00000170681	muscle-related coiled-coil protein
MUS81	ENSG00000172732	MUS81 structure-specific endonuclease subunit
MUSTN1	ENSG00000243696	musculoskeletal, embryonic nuclear protein 1
MUT	ENSG00000146085	methylmalonyl-CoA mutase
MUTED	ENSG00000188428	NA
MUTYH	ENSG00000132781	mutY DNA glycosylase
MVB12B	NA	multivesicular body subunit 12B
MVD	ENSG00000167508	mevalonate diphosphate decarboxylase
MVK	ENSG00000110921	mevalonate kinase
MVP	ENSG00000013364	major vault protein
MX2	ENSG00000183486	MX dynamin-like GTPase 2
MXD1	ENSG00000059728	MAX dimerization protein 1
MXD3	ENSG00000213347	MAX dimerization protein 3
MXD4	ENSG00000123933	MAX dimerization protein 4
MXI1	ENSG00000119950	MAX interactor 1, dimerization protein
MXRA7	ENSG00000182534	matrix-remodelling associated 7
MXRA8	ENSG00000162576	matrix-remodelling associated 8
MYADM	ENSG00000179820	myeloid-associated differentiation marker
MYB	ENSG00000118513	v-myb avian myeloblastosis viral oncogene homolog
MYBBP1A	ENSG00000132382	MYB binding protein (P160) 1a
MYBL1	ENSG00000185697	v-myb avian myeloblastosis viral oncogene homolog-like 1
MYBL2	ENSG00000101057	v-myb avian myeloblastosis viral oncogene homolog-like 2
MYC	ENSG00000136997	v-myc avian myelocytomatosis viral oncogene homolog
MYCBP	ENSG00000214114	MYC binding protein
MYCBP2	ENSG00000005810	MYC binding protein 2, E3 ubiquitin protein ligase
MYCBPAP	ENSG00000136449	MYCBP associated protein
MYCL1	ENSG00000116990	NA
MYD88	ENSG00000172936	myeloid differentiation primary response 88
MYEF2	ENSG00000104177	myelin expression factor 2
MYEOV2	ENSG00000172428	myeloma overexpressed 2
MYH10	ENSG00000133026	myosin, heavy chain 10, non-muscle
MYH11	ENSG00000133392	myosin, heavy chain 11, smooth muscle
MYH15	ENSG00000144821	myosin, heavy chain 15
MYH3	ENSG00000109063	myosin, heavy chain 3, skeletal muscle, embryonic
MYH9	ENSG00000100345	myosin, heavy chain 9, non-muscle
MYL1;MYL3	NA	NA
MYL12A	ENSG00000101608	myosin light chain 12A
MYL12A;MYL12B;MYL9	NA	NA
MYL12B	ENSG00000118680	myosin light chain 12B
MYL5	ENSG00000215375	myosin light chain 5
MYL6	ENSG00000092841	myosin light chain 6
MYL6B	ENSG00000196465	myosin light chain 6B
MYLIP	ENSG00000007944	myosin regulatory light chain interacting protein
MYLK2	ENSG00000101306	myosin light chain kinase 2
MYLK4	ENSG00000145949	myosin light chain kinase family member 4
MYNN	ENSG00000085274	myoneurin
MYO18A	ENSG00000196535	myosin XVIIIA
MYO18B	ENSG00000133454	myosin XVIIIB
MYO19	ENSG00000141140	myosin XIX
MYO1A	ENSG00000166866	myosin IA
MYO1B	ENSG00000128641	myosin IB
MYO1C	ENSG00000197879	myosin IC
MYO1D	ENSG00000176658	myosin ID
MYO1G	ENSG00000136286	myosin IG
MYO5A	ENSG00000197535	myosin VA
MYO5C	ENSG00000128833	myosin VC
MYO6	ENSG00000196586	myosin VI
MYO7B	ENSG00000169994	myosin VIIB
MYO9A	ENSG00000066933	myosin IXA
MYO9B	ENSG00000099331	myosin IXB
MYOM2	ENSG00000036448	myomesin 2
MYPOP	ENSG00000176182	Myb-related transcription factor, partner of profilin
MYSM1	ENSG00000162601	Myb-like, SWIRM and MPN domains 1
MYST1	ENSG00000103510	NA
MYST2	ENSG00000136504	NA
MYST3	ENSG00000083168	NA
MYST4	ENSG00000156650	NA
MZB1	NA	marginal zone B and B1 cell-specific protein
MZF1	ENSG00000099326	myeloid zinc finger 1
N4BP1	ENSG00000102921	NEDD4 binding protein 1
N4BP2	ENSG00000078177	NEDD4 binding protein 2
N4BP2L1	ENSG00000139597	NEDD4 binding protein 2-like 1
N4BP2L2	ENSG00000244754	NEDD4 binding protein 2-like 2
N6AMT1	ENSG00000156239	N-6 adenine-specific DNA methyltransferase 1 (putative)
N6AMT2	ENSG00000150456	N-6 adenine-specific DNA methyltransferase 2 (putative)
NAA10	ENSG00000102030	N(alpha)-acetyltransferase 10, NatA catalytic subunit
NAA15	ENSG00000164134	N(alpha)-acetyltransferase 15, NatA auxiliary subunit
NAA16	ENSG00000172766	N(alpha)-acetyltransferase 16, NatA auxiliary subunit
NAA20	ENSG00000173418	N(alpha)-acetyltransferase 20, NatB catalytic subunit
NAA25	ENSG00000111300	N(alpha)-acetyltransferase 25, NatB auxiliary subunit
NAA30	ENSG00000139977	N(alpha)-acetyltransferase 30, NatC catalytic subunit
NAA35	ENSG00000135040	N(alpha)-acetyltransferase 35, NatC auxiliary subunit
NAA38	ENSG00000128534	N(alpha)-acetyltransferase 38, NatC auxiliary subunit
NAA40	ENSG00000110583	N(alpha)-acetyltransferase 40, NatD catalytic subunit
NAA50	ENSG00000121579	N(alpha)-acetyltransferase 50, NatE catalytic subunit
NAAA	ENSG00000138744	N-acylethanolamine acid amidase
NAALAD2	ENSG00000077616	N-acetylated alpha-linked acidic dipeptidase 2
NAALADL2	ENSG00000177694	N-acetylated alpha-linked acidic dipeptidase-like 2
NAB1	ENSG00000138386	NGFI-A binding protein 1
NAB2	ENSG00000166886	NGFI-A binding protein 2 (EGR1 binding protein 2)
NACA	ENSG00000196531	nascent polypeptide-associated complex alpha subunit
NACA2	ENSG00000253506	nascent polypeptide-associated complex alpha subunit 2
NACA3P	ENSG00000121089	NACA family member 3 pseudogene
NACAP1	ENSG00000228224	nascent polypeptide associated complex alpha subunit pseudogene 1
NACC1	ENSG00000160877	nucleus accumbens associated 1, BEN and BTB (POZ) domain containing
NADK	ENSG00000008130	NAD kinase
NADKD1	NA	NA
NADSYN1	ENSG00000172890	NAD synthetase 1
NAE1	ENSG00000159593	NEDD8 activating enzyme E1 subunit 1
NAF1	ENSG00000145414	nuclear assembly factor 1 ribonucleoprotein
NAGA	ENSG00000198951	N-acetylgalactosaminidase, alpha-
NAGK	ENSG00000124357	N-acetylglucosamine kinase
NAGLU	ENSG00000108784	N-acetylglucosaminidase, alpha
NAGPA	ENSG00000103174	N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase
NAIF1	ENSG00000171169	nuclear apoptosis inducing factor 1
NAMPT;NAMPTL	NA	NA
NAMPTL	ENSG00000229644	NA
NANOS1	ENSG00000188613	nanos homolog 1 (Drosophila)
NANP	ENSG00000170191	N-acetylneuraminic acid phosphatase
NANS	ENSG00000095380	N-acetylneuraminate synthase
NAP1L1	ENSG00000187109	nucleosome assembly protein 1-like 1
NAP1L1P3	ENSG00000213371	nucleosome assembly protein 1-like 1 pseudogene 3
NAP1L4	ENSG00000205531	nucleosome assembly protein 1-like 4
NAP1L4;NAP1L4b	NA	NA
NAPA	ENSG00000105402	NSF attachment protein alpha
NAPB	ENSG00000125814	NSF attachment protein beta
NAPEPLD	ENSG00000161048	N-acyl phosphatidylethanolamine phospholipase D
NAPG	ENSG00000134265	N-ethylmaleimide-sensitive factor attachment protein, gamma
NAPRT1	ENSG00000147813	NA
NAPSA	ENSG00000131400	napsin A aspartic peptidase
NARF	ENSG00000141562	nuclear prelamin A recognition factor
NARFL	ENSG00000103245	nuclear prelamin A recognition factor-like
NARG2	ENSG00000128915	NA
NARS	ENSG00000134440	asparaginyl-tRNA synthetase
NARS2	ENSG00000137513	asparaginyl-tRNA synthetase 2, mitochondrial (putative)
NASP	ENSG00000132780	nuclear autoantigenic sperm protein (histone-binding)
NAT1	ENSG00000171428	N-acetyltransferase 1 (arylamine N-acetyltransferase)
NAT10	ENSG00000135372	N-acetyltransferase 10 (GCN5-related)
NAT14	ENSG00000090971	N-acetyltransferase 14 (GCN5-related, putative)
NAT15	ENSG00000122390	NA
NAT6	ENSG00000243477	N-acetyltransferase 6 (GCN5-related)
NAT8L	ENSG00000185818	N-acetyltransferase 8-like (GCN5-related, putative)
NAT9	ENSG00000109065	N-acetyltransferase 9 (GCN5-related, putative)
NAV1	ENSG00000134369	neuron navigator 1
NBAS	ENSG00000151779	neuroblastoma amplified sequence
NBEA	ENSG00000172915	neurobeachin
NBEAL1	ENSG00000144426	neurobeachin like 1
NBEAL2	ENSG00000160796	neurobeachin like 2
NBL1	ENSG00000158747	neuroblastoma 1, DAN family BMP antagonist
NBN	ENSG00000104320	nibrin
NBPF1	ENSG00000219481	neuroblastoma breakpoint family member 1
NBPF10	ENSG00000203832	neuroblastoma breakpoint family member 10
NBPF12	ENSG00000186275	neuroblastoma breakpoint family member 12
NBPF14	ENSG00000122497	neuroblastoma breakpoint family member 14
NBPF15	ENSG00000243452	neuroblastoma breakpoint family member 15
NBPF3	ENSG00000142794	neuroblastoma breakpoint family member 3
NBPF8	ENSG00000225241	neuroblastoma breakpoint family member 8
NBPF9	ENSG00000168614	neuroblastoma breakpoint family member 9
NBR1	ENSG00000188554	neighbor of BRCA1 gene 1
NBR2	ENSG00000198496	neighbor of BRCA1 gene 2 (non-protein coding)
NCAPD2	ENSG00000010292	non-SMC condensin I complex subunit D2
NCAPD3	ENSG00000151503	non-SMC condensin II complex subunit D3
NCAPG	ENSG00000109805	non-SMC condensin I complex subunit G
NCAPG2	ENSG00000146918	non-SMC condensin II complex subunit G2
NCAPH	ENSG00000121152	non-SMC condensin I complex subunit H
NCAPH2	ENSG00000025770	non-SMC condensin II complex subunit H2
NCBP1	ENSG00000136937	nuclear cap binding protein subunit 1
NCBP2	ENSG00000114503	nuclear cap binding protein subunit 2
NCDN	ENSG00000020129	neurochondrin
NCK1	ENSG00000158092	NCK adaptor protein 1
NCK2	ENSG00000071051	NCK adaptor protein 2
NCKAP1	ENSG00000061676	NCK-associated protein 1
NCKAP1L	ENSG00000123338	NCK-associated protein 1-like
NCKIPSD	ENSG00000213672	NCK interacting protein with SH3 domain
NCL	ENSG00000115053	nucleolin
NCLN	ENSG00000125912	nicalin
NCOA1	ENSG00000084676	nuclear receptor coactivator 1
NCOA2	ENSG00000140396	nuclear receptor coactivator 2
NCOA3	ENSG00000124151	nuclear receptor coactivator 3
NCOA4	ENSG00000138293	nuclear receptor coactivator 4
NCOA5	ENSG00000124160	nuclear receptor coactivator 5
NCOA6	ENSG00000198646	nuclear receptor coactivator 6
NCOA7	ENSG00000111912	nuclear receptor coactivator 7
NCOR1	ENSG00000141027	nuclear receptor corepressor 1
NCOR2	ENSG00000196498	nuclear receptor corepressor 2
NCR2	ENSG00000096264	natural cytotoxicity triggering receptor 2
NCRNA00029	ENSG00000125514	NA
NCRNA00081	ENSG00000214413	NA
NCRNA00094	ENSG00000235106	NA
NCRNA00103	ENSG00000223773	NA
NCRNA00105	ENSG00000236017	NA
NCRNA00106	ENSG00000236871	NA
NCRNA00116	ENSG00000175701	NA
NCRNA00118	ENSG00000225756	NA
NCRNA00152	ENSG00000222041	NA
NCRNA00171	ENSG00000204623	NA
NCRNA00174	ENSG00000179406	NA
NCRNA00182	ENSG00000230590	NA
NCRNA00183	ENSG00000225470	NA
NCRNA00188	ENSG00000175061	NA
NCRNA00201	ENSG00000188206	NA
NCRNA00205	ENSG00000223768	NA
NCRNA00219	ENSG00000224032	NA
NCRNA00265	ENSG00000188185	NA
NCSTN	ENSG00000162736	nicastrin
NCUBE1	ENSG00000198833	NA
NDC80	ENSG00000080986	NDC80 kinetochore complex component
NDE1	ENSG00000072864	nudE neurodevelopment protein 1
NDEL1	ENSG00000166579	nudE neurodevelopment protein 1-like 1
NDFIP1	ENSG00000131507	Nedd4 family interacting protein 1
NDFIP2	ENSG00000102471	Nedd4 family interacting protein 2
NDNL2	ENSG00000185115	NA
NDOR1	ENSG00000188566	NADPH dependent diflavin oxidoreductase 1
NDRG1	ENSG00000104419	N-myc downstream regulated 1
NDRG2	ENSG00000165795	NDRG family member 2
NDRG3	ENSG00000101079	NDRG family member 3
NDRG4	ENSG00000103034	NDRG family member 4
NDST1	ENSG00000070614	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 1
NDST2	ENSG00000166507	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 2
NDST4	ENSG00000138653	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 4
NDUFA1	ENSG00000125356	NADH:ubiquinone oxidoreductase subunit A1
NDUFA10	ENSG00000130414	NADH:ubiquinone oxidoreductase subunit A10
NDUFA11	ENSG00000174886	NADH:ubiquinone oxidoreductase subunit A11
NDUFA12	ENSG00000184752	NADH:ubiquinone oxidoreductase subunit A12
NDUFA13	ENSG00000186010	NADH:ubiquinone oxidoreductase subunit A13
NDUFA13;YJEFN3	NA	NA
NDUFA2	ENSG00000131495	NADH:ubiquinone oxidoreductase subunit A2
NDUFA3	ENSG00000170906	NADH:ubiquinone oxidoreductase subunit A3
NDUFA4	ENSG00000189043	NDUFA4, mitochondrial complex associated
NDUFA4L2	ENSG00000185633	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4-like 2
NDUFA5	ENSG00000128609	NADH:ubiquinone oxidoreductase subunit A5
NDUFA5;DKFZp781K1356	NA	NA
NDUFA6	ENSG00000184983	NADH:ubiquinone oxidoreductase subunit A6
NDUFA7	ENSG00000167774	NADH:ubiquinone oxidoreductase subunit A7
NDUFA8	ENSG00000119421	NADH:ubiquinone oxidoreductase subunit A8
NDUFA9	ENSG00000139180	NADH:ubiquinone oxidoreductase subunit A9
NDUFAB1	ENSG00000004779	NADH:ubiquinone oxidoreductase subunit AB1
NDUFAF1	ENSG00000137806	NADH:ubiquinone oxidoreductase complex assembly factor 1
NDUFAF2	ENSG00000164182	NADH:ubiquinone oxidoreductase complex assembly factor 2
NDUFAF3	ENSG00000178057	NADH:ubiquinone oxidoreductase complex assembly factor 3
NDUFAF4	ENSG00000123545	NADH:ubiquinone oxidoreductase complex assembly factor 4
NDUFB1	ENSG00000183648	NADH:ubiquinone oxidoreductase subunit B1
NDUFB10	ENSG00000140990	NADH:ubiquinone oxidoreductase subunit B10
NDUFB11	ENSG00000147123	NADH:ubiquinone oxidoreductase subunit B11
NDUFB2	ENSG00000090266	NADH:ubiquinone oxidoreductase subunit B2
NDUFB3	ENSG00000119013	NADH:ubiquinone oxidoreductase subunit B3
NDUFB4	ENSG00000065518	NADH:ubiquinone oxidoreductase subunit B4
NDUFB5	ENSG00000136521	NADH:ubiquinone oxidoreductase subunit B5
NDUFB6	ENSG00000165264	NADH:ubiquinone oxidoreductase subunit B6
NDUFB7	ENSG00000099795	NADH:ubiquinone oxidoreductase subunit B7
NDUFB8	ENSG00000166136	NADH:ubiquinone oxidoreductase subunit B8
NDUFB9	ENSG00000147684	NADH:ubiquinone oxidoreductase subunit B9
NDUFC1	ENSG00000109390	NADH:ubiquinone oxidoreductase subunit C1
NDUFC2	ENSG00000151366	NADH:ubiquinone oxidoreductase subunit C2
NDUFS1	ENSG00000023228	NADH:ubiquinone oxidoreductase core subunit S1
NDUFS2	ENSG00000158864	NADH:ubiquinone oxidoreductase core subunit S2
NDUFS3	ENSG00000213619	NADH:ubiquinone oxidoreductase core subunit S3
NDUFS4	ENSG00000164258	NADH:ubiquinone oxidoreductase subunit S4
NDUFS5	ENSG00000168653	NADH:ubiquinone oxidoreductase subunit S5
NDUFS6	ENSG00000145494	NADH:ubiquinone oxidoreductase subunit S6
NDUFS7	ENSG00000115286	NADH:ubiquinone oxidoreductase core subunit S7
NDUFS8	ENSG00000110717	NADH:ubiquinone oxidoreductase core subunit S8
NDUFV1	ENSG00000167792	NADH:ubiquinone oxidoreductase core subunit V1
NDUFV2	ENSG00000178127	NADH:ubiquinone oxidoreductase core subunit V2
NDUFV3	ENSG00000160194	NADH:ubiquinone oxidoreductase subunit V3
NEB	ENSG00000183091	nebulin
NECAB3	ENSG00000125967	N-terminal EF-hand calcium binding protein 3
NECAP1	ENSG00000089818	NECAP endocytosis associated 1
NECAP2	ENSG00000157191	NECAP endocytosis associated 2
NEDD1	ENSG00000139350	neural precursor cell expressed, developmentally down-regulated 1
NEDD4	ENSG00000069869	neural precursor cell expressed, developmentally down-regulated 4, E3 ubiquitin protein ligase
NEDD4L	ENSG00000049759	neural precursor cell expressed, developmentally down-regulated 4-like, E3 ubiquitin protein ligase
NEDD8	ENSG00000129559	neural precursor cell expressed, developmentally down-regulated 8
NEDD9	ENSG00000111859	neural precursor cell expressed, developmentally down-regulated 9
NEIL1	ENSG00000140398	nei-like DNA glycosylase 1
NEIL2	ENSG00000154328	nei-like DNA glycosylase 2
NEIL3	ENSG00000109674	nei-like DNA glycosylase 3
NEK1	ENSG00000137601	NIMA-related kinase 1
NEK2	ENSG00000117650	NIMA-related kinase 2
NEK3	ENSG00000136098	NIMA-related kinase 3
NEK4	ENSG00000114904	NIMA-related kinase 4
NEK7	ENSG00000151414	NIMA-related kinase 7
NEK8	ENSG00000160602	NIMA-related kinase 8
NEK9	ENSG00000119638	NIMA-related kinase 9
NELF	ENSG00000165802	NA
NELFA;WHSC2	NA	NA
NELFB	NA	negative elongation factor complex member B
NELFCD;TH1L	NA	NA
NELFE	NA	negative elongation factor complex member E
NELL2	ENSG00000184613	neural EGFL like 2
NENF	ENSG00000117691	neudesin neurotrophic factor
NEO1	ENSG00000067141	neogenin 1
NET1	ENSG00000173848	neuroepithelial cell transforming 1
NEU1	ENSG00000204386	neuraminidase 1 (lysosomal sialidase)
NEU3	ENSG00000162139	neuraminidase 3 (membrane sialidase)
NEU4	ENSG00000204099	neuraminidase 4 (sialidase)
NEURL4	ENSG00000215041	neuralized E3 ubiquitin protein ligase 4
NEUROG2	ENSG00000178403	neurogenin 2
NF1	ENSG00000196712	neurofibromin 1
NF2	ENSG00000186575	neurofibromin 2 (merlin)
NFAT5	ENSG00000102908	nuclear factor of activated T-cells 5, tonicity-responsive
NFATC1	ENSG00000131196	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 1
NFATC2IP	ENSG00000176953	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2 interacting protein
NFATC3	ENSG00000072736	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 3
NFATC4	ENSG00000100968	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 4
NFE2L1	ENSG00000082641	nuclear factor, erythroid 2 like 1
NFE2L2	ENSG00000116044	nuclear factor, erythroid 2 like 2
NFE2L3	ENSG00000050344	nuclear factor, erythroid 2 like 3
NFIA	ENSG00000162599	nuclear factor I/A
NFIB	ENSG00000147862	nuclear factor I/B
NFIC	ENSG00000141905	nuclear factor I/C (CCAAT-binding transcription factor)
NFIL3	ENSG00000165030	nuclear factor, interleukin 3 regulated
NFIX	ENSG00000008441	nuclear factor I/X (CCAAT-binding transcription factor)
NFKB1	ENSG00000109320	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1
NFKB2	ENSG00000077150	nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100)
NFKBIA	ENSG00000100906	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha
NFKBIB	ENSG00000104825	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, beta
NFKBID	ENSG00000167604	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, delta
NFKBIE	ENSG00000146232	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, epsilon
NFKBIL1	ENSG00000204498	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor-like 1
NFKBIL2	ENSG00000160949	NA
NFRKB	ENSG00000170322	nuclear factor related to kappaB binding protein
NFS1	ENSG00000244005	NFS1 cysteine desulfurase
NFU1	ENSG00000169599	NFU1 iron-sulfur cluster scaffold
NFX1	ENSG00000086102	nuclear transcription factor, X-box binding 1
NFXL1	ENSG00000170448	nuclear transcription factor, X-box binding-like 1
NFYA	ENSG00000001167	nuclear transcription factor Y subunit alpha
NFYB	ENSG00000120837	nuclear transcription factor Y subunit beta
NFYC	ENSG00000066136	nuclear transcription factor Y subunit gamma
NGDN	ENSG00000129460	neuroguidin
NGFRAP1	ENSG00000166681	nerve growth factor receptor (TNFRSF16) associated protein 1
NGLY1	ENSG00000151092	N-glycanase 1
NGRN	ENSG00000182768	neugrin, neurite outgrowth associated
NHEDC1	ENSG00000164037	NA
NHEDC2	ENSG00000164038	NA
NHLRC2	ENSG00000196865	NHL repeat containing 2
NHLRC3	ENSG00000188811	NHL repeat containing 3
NHP2	ENSG00000145912	NHP2 ribonucleoprotein
NHP2L1	ENSG00000100138	NA
NHSL1	ENSG00000135540	NHS like 1
NICN1	ENSG00000145029	nicolin 1
NID2	ENSG00000087303	nidogen 2
NIF3L1	ENSG00000196290	NGG1 interacting factor 3 like 1
NIN	ENSG00000100503	ninein
NINJ1	ENSG00000131669	ninjurin 1
NINJ2	ENSG00000171840	ninjurin 2
NINL	ENSG00000101004	ninein like
NIP7	ENSG00000132603	NIP7, nucleolar pre-rRNA processing protein
NIPA1	ENSG00000170113	non imprinted in Prader-Willi/Angelman syndrome 1
NIPA2	ENSG00000140157	non imprinted in Prader-Willi/Angelman syndrome 2
NIPAL3	ENSG00000001461	NIPA-like domain containing 3
NIPBL	ENSG00000164190	Nipped-B homolog (Drosophila)
NIPSNAP1	ENSG00000184117	nipsnap homolog 1 (C. elegans)
NIPSNAP3A	ENSG00000136783	nipsnap homolog 3A (C. elegans)
NISCH	ENSG00000010322	nischarin
NIT1	ENSG00000158793	nitrilase 1
NIT2	ENSG00000114021	nitrilase family member 2
NKAP	ENSG00000101882	NFKB activating protein
NKD2	ENSG00000145506	naked cuticle homolog 2 (Drosophila)
NKG7	ENSG00000105374	natural killer cell granule protein 7
NKIRAS1	ENSG00000197885	NFKB inhibitor interacting Ras-like 1
NKIRAS2	ENSG00000168256	NFKB inhibitor interacting Ras-like 2
NKRF	ENSG00000186416	NFKB repressing factor
NKTR	ENSG00000114857	natural killer cell triggering receptor
NKX2-2	ENSG00000125820	NK2 homeobox 2
NKX6-1	ENSG00000163623	NK6 homeobox 1
NLE1	ENSG00000073536	notchless homolog 1 (Drosophila)
NLGN2	ENSG00000169992	neuroligin 2
NLGN3	ENSG00000196338	neuroligin 3
NLGN4X	ENSG00000146938	neuroligin 4, X-linked
NLGN4X;NLGN4Y	NA	NA
NLK	ENSG00000087095	nemo-like kinase
NLN	ENSG00000123213	neurolysin (metallopeptidase M3 family)
NLRC3	ENSG00000167984	NLR family, CARD domain containing 3
NLRC5	ENSG00000140853	NLR family, CARD domain containing 5
NLRP1	ENSG00000170233	NLR family, pyrin domain containing 1
NLRP11	ENSG00000179873	NLR family, pyrin domain containing 11
NLRX1	ENSG00000160703	NLR family member X1
NMB	ENSG00000197696	neuromedin B
NMD3	ENSG00000169251	NMD3 ribosome export adaptor
NME1	ENSG00000239672	NME/NM23 nucleoside diphosphate kinase 1
NME1-NME2;NME2;NME1	NA	NA
NME2	ENSG00000011052	NME/NM23 nucleoside diphosphate kinase 2
NME2P1	ENSG00000123009	NME/NM23 nucleoside diphosphate kinase 2 pseudogene 1
NME3	ENSG00000103024	NME/NM23 nucleoside diphosphate kinase 3
NME4	ENSG00000103202	NME/NM23 nucleoside diphosphate kinase 4
NME6	ENSG00000172113	NME/NM23 nucleoside diphosphate kinase 6
NME7	ENSG00000143156	NME/NM23 family member 7
NMI	ENSG00000123609	N-myc and STAT interactor
NMNAT1	ENSG00000173614	nicotinamide nucleotide adenylyltransferase 1
NMRAL1	ENSG00000153406	NmrA-like family domain containing 1
NMT1	ENSG00000136448	N-myristoyltransferase 1
NMT2	ENSG00000152465	N-myristoyltransferase 2
NNT	ENSG00000112992	nicotinamide nucleotide transhydrogenase
NO66	NA	NA
NOB1	ENSG00000141101	NIN1/RPN12 binding protein 1 homolog
NOC2L	ENSG00000188976	NOC2-like nucleolar associated transcriptional repressor
NOC3L	ENSG00000173145	NOC3-like DNA replication regulator
NOC4L	ENSG00000184967	nucleolar complex associated 4 homolog
NOD1	ENSG00000106100	nucleotide binding oligomerization domain containing 1
NOG	ENSG00000183691	noggin
NOL10	ENSG00000115761	nucleolar protein 10
NOL11	ENSG00000130935	nucleolar protein 11
NOL12	ENSG00000100101	nucleolar protein 12
NOL3	ENSG00000140939	nucleolar protein 3
NOL6	ENSG00000165271	nucleolar protein 6
NOL7	ENSG00000225921	nucleolar protein 7
NOL8	ENSG00000198000	nucleolar protein 8
NOL9	ENSG00000162408	nucleolar protein 9
NOLA2P1	ENSG00000105988	NA
NOLC1	ENSG00000166197	nucleolar and coiled-body phosphoprotein 1
NOM1	ENSG00000146909	nucleolar protein with MIF4G domain 1
NOMO1	ENSG00000103512	NODAL modulator 1
NOMO2	ENSG00000185164	NODAL modulator 2
NOMO3	ENSG00000103226	NODAL modulator 3
NOMO3;NOMO2;NOMO1	NA	NA
NONO	ENSG00000147140	non-POU domain containing, octamer-binding
NOP10	ENSG00000182117	NOP10 ribonucleoprotein
NOP14	ENSG00000087269	NOP14 nucleolar protein
NOP16	ENSG00000048162	NOP16 nucleolar protein
NOP2	ENSG00000111641	NOP2 nucleolar protein
NOP56	ENSG00000101361	NOP56 ribonucleoprotein
NOP58	ENSG00000055044	NOP58 ribonucleoprotein
